Accident Type,Date,Speed (Km),Simple Injuries,Severe Injuries,Death,Medium Injuries,Road Lanes,Road Surfuce Description,Vehicle Country,Driver Licensee Type,Road Type,Light,Weather,Road Proerties,Driver Mistake,City,Vehicle type,Number of Cars,Driver Age,Sex
Collision,2018-01-09 11:03,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,22,Female
Collision,2018-01-09 11:03,60,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Wrong way driving,Amman,Passengers vehicle (up to 9 seats),2,57,Male
Collision,2018-01-09 10:59,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Running a red light,Amman,Passenger and cargo vehicle,2,32,Male
Collision,2018-01-09 10:59,40,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers Van or small bus (10 to 30 seats),2,40,Male
Collision,2018-02-09 18:25,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,35,Male
Collision,2018-02-09 18:25,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper reversing,Amman,Passengers vehicle (up to 9 seats),2,0,Male
Collision,2018-03-09 14:20,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper lane changes,Zarqa,Passengers vehicle (up to 9 seats),2,32,Male
Collision,2018-03-09 14:20,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Zarqa,Passenger and cargo vehicle,2,21,Male
Collision,2018-01-09 11:26,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),3,36,Male
Collision,2018-01-09 11:26,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),3,62,Male
Collision,2018-01-09 11:26,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper reversing,Amman,Passengers vehicle (up to 9 seats),3,37,Female
Collision,2018-02-09 22:20,40,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Balqa,Passengers Van or small bus (10 to 30 seats),2,44,Male
Collision,2018-02-09 22:20,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Improper lane changes,Balqa,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-02-09 10:06,40,0,0,0,0,One way,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,40,Male
Collision,2018-02-09 10:06,40,0,0,0,0,One way,dry,Jordan,class 3,asphalt,day,clear,flat straight,Open door while driving or parking,Irbid,Passengers vehicle (up to 9 seats),2,25,Male
Collision,2018-01-09 10:00,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,25,Male
Collision,2018-01-09 10:00,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,36,Male
Run over,2018-04-09 22:15,70,0,0,0,1,Two ways with median island,dry,Jordan,class5,asphalt,night without enough light,clear,flat straight,Neglecting traffic safety precautions,Mafraq,Passenger and cargo vehicle,1,24,Male
Collision,2018-04-09 19:00,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,sunset,clear,flat straight,Violation of traffic rules,Mafraq,Passenger and cargo vehicle,2,43,Male
Collision,2018-04-09 19:00,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,sunset,clear,flat straight,Tailgating,Mafraq,Passenger and cargo vehicle,2,25,Male
Collision,2018-01-09 9:00,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,28,Female
Collision,2018-01-09 9:00,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),2,22,Male
Collision,2018-01-09 9:46,60,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,night without enough light,clear,flat straight,No TRUCK LOAD COVER AND TARPING,al-karak,Truck,2,27,Male
Collision,2018-01-09 9:46,60,0,0,0,0,Two ways with median island,dry,KSA,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,al-karak,Passengers vehicle (up to 9 seats),2,36,Male
Collision,2018-01-09 13:19,40,0,0,0,0,Public Parks,dry,Jordan,class5,asphalt,day,clear,flat straight,Violation of traffic rules,Mafraq,Passengers Van or small bus (10 to 30 seats),2,27,Male
Collision,2018-01-09 13:19,40,0,0,0,0,Public Parks,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Mafraq,Passenger and cargo vehicle,2,33,Male
Collision,2018-02-09 7:30,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Mafraq,Passengers vehicle (up to 9 seats),2,27,Male
Collision,2018-02-09 7:30,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Mafraq,Passengers vehicle (up to 9 seats),2,35,Male
Collision,2018-03-09 8:45,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-03-09 8:45,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),2,35,Male
Collision,2018-04-09 9:13,30,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Zarqa,Truck,2,19,Male
Collision,2018-04-09 9:13,30,0,0,0,0,Two ways,dry,Jordan,class 6b,asphalt,night without enough light,clear,flat straight,Neglecting traffic safety precautions,Zarqa,Passengers Van or small bus (10 to 30 seats),2,39,Male
Collision,2018-03-09 7:41,50,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,40,Male
Collision,2018-03-09 7:41,50,0,0,0,0,Two ways with median island,dry,Jordan,class5,asphalt,night without enough light,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,31,Male
Collision,2018-03-09 7:42,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Improper reversing,Amman,Passenger and cargo vehicle,2,118,Unkown
Collision,2018-03-09 7:42,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,30,Male
Collision,2018-03-09 7:50,50,0,0,0,0,Two ways with median island,dry,Jordan,class 6a,asphalt,night without enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers Van or small bus (10 to 30 seats),2,56,Female
Collision,2018-03-09 7:50,50,0,0,0,0,Two ways with median island,dry,Jordan,class 6a,asphalt,night without enough light,clear,flat straight,Neglecting traffic safety precautions,Amman,Passengers Van or small bus (10 to 30 seats),2,39,Male
Collision,2018-03-09 10:00,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,29,Male
Collision,2018-03-09 10:00,50,0,0,0,0,Two ways,dry,Jordan,class 3 auto,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Amman,Passengers vehicle (up to 9 seats),2,24,Female
Collision,2018-01-09 13:59,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,straight ramp,Neglecting traffic safety precautions,Mafraq,Passengers vehicle (up to 9 seats),1,26,Male
Collision,2018-01-09 15:00,20,0,0,0,0,Public Parks,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Mafraq,Passengers vehicle (up to 9 seats),1,0,Male
